meter_id,date,daily_energy_wh
1130211_FD1_L1_EDMI_1_D,2013-11-05,6554
1130211_FD1_L1_EDMI_1_D,2013-11-06,6284
1130211_FD1_L1_EDMI_1_D,2013-11-07,5909
1130211_FD1_L1_EDMI_1_D,2013-11-08,10821
1130211_FD1_L1_EDMI_1_D,2013-11-09,8185
1130211_FD1_L1_EDMI_1_D,2013-11-10,12474
1130211_FD1_L1_EDMI_1_D,2013-11-11,7421
1130211_FD1_L1_EDMI_1_D,2013-11-12,7687
1130211_FD1_L1_EDMI_1_D,2013-11-13,7286
1130211_FD1_L1_EDMI_1_D,2013-11-14,16116
1130211_FD1_L1_EDMI_1_D,2013-11-15,12676
1130211_FD1_L1_EDMI_1_D,2013-11-16,8530
1130211_FD1_L1_EDMI_1_D,2013-11-17,10610
1130211_FD1_L1_EDMI_1_D,2013-11-18,6651
1130211_FD1_L1_EDMI_1_D,2013-11-19,7460
1130211_FD1_L1_EDMI_1_D,2013-11-20,9357
1130211_FD1_L1_EDMI_1_D,2013-11-21,6411
1130211_FD1_L1_EDMI_1_D,2013-11-22,8287
1130211_FD1_L1_EDMI_1_D,2013-11-23,8803
1130211_FD1_L1_EDMI_1_D,2013-11-24,12095
1130211_FD1_L1_EDMI_1_D,2013-11-25,6832
1130211_FD1_L1_EDMI_1_D,2013-11-26,9041
1130211_FD1_L1_EDMI_1_D,2013-11-27,7695
1130211_FD1_L1_EDMI_1_D,2013-11-28,8395
1130211_FD1_L1_EDMI_1_D,2013-11-29,11620
1130211_FD1_L1_EDMI_1_D,2013-11-30,13449
1130211_FD1_L1_EDMI_1_D,2013-12-01,9570
1130211_FD1_L1_EDMI_1_D,2013-12-02,9704
1130211_FD1_L1_EDMI_1_D,2013-12-03,8663
1130211_FD1_L1_EDMI_1_D,2013-12-04,10129
1130211_FD1_L1_EDMI_1_D,2013-12-05,7998
1130211_FD1_L1_EDMI_1_D,2013-12-06,8169
1130211_FD1_L1_EDMI_1_D,2013-12-07,7546
